region,rajon,title,amount,period,month
Гродненская,Свислочский,"Свислочский район",4631.7,2,Март
Гродненская,Слонимский,"Слонимский район",4922.2,2,Март
Гродненская,Сморгонский,"Сморгонский район",5370.9,2,Март
Гродненская,Щучинский,"Щучинский район",5227.9,2,Март
Гродненская,Всего,"Гродненская область",5722.8,2,Март
Гродненская,Гродно,Гродно,6235.4,0,Январь
Гродненская,Берестовицкий,"Берестовицкий район",4888.5,0,Январь
Гродненская,Волковысский,"Волковысский район",5464.7,0,Январь
Гродненская,Вороновский,"Вороновский район",4297.6,0,Январь
Гродненская,Гродненский,"Гродненский район",5610.4,0,Январь
Гродненская,Дятловский,"Дятловский район",4406,0,Январь
Гродненская,Зельвенский,"Зельвенский район",4273.4,0,Январь
Гродненская,Ивьевский,"Ивьевский район",4188.3,0,Январь
Гродненская,Кореличский,"Кореличский район",4402.6,0,Январь
Гродненская,Лидский,"Лидский район",4971.8,0,Январь
Гродненская,Мостовский,"Мостовский район",4494.2,0,Январь
Гродненская,Новогрудский,"Новогрудский район",4779.8,0,Январь
Гродненская,Островецкий,"Островецкий район",4881.6,0,Январь
Гродненская,Ошмянский,"Ошмянский район",4731.2,0,Январь
Гродненская,Свислочский,"Свислочский район",4267.8,0,Январь
Гродненская,Слонимский,"Слонимский район",4571.6,0,Январь
Гродненская,Сморгонский,"Сморгонский район",5026.2,0,Январь
Гродненская,Щучинский,"Щучинский район",4753.6,0,Январь
Минск,Минск,Минск,8570,1,Февраль
Минск,Минск,Минск,8933.3,2,Март
Минск,Минск,Минск,8235.6,0,Январь
Гродненская,Всего,"Гродненская область",5335.1,0,Январь
Минская,Жодино,Жодино,5757,1,Февраль
Минская,Березинский,"Березинский район",4697.5,1,Февраль
Минская,Борисовский,"Борисовский район",5119.5,1,Февраль
Минская,Вилейский,"Вилейский район",4728.4,1,Февраль
Минская,Воложинский,"Воложинский район",4565.6,1,Февраль
Минская,Дзержинский,"Дзержинский район",6340,1,Февраль
Минская,Клецкий,"Клецкий район",4597.6,1,Февраль
Минская,Копыльский,"Копыльский район",4506.6,1,Февраль
Минская,Крупский,"Крупский район",4868.5,1,Февраль
Минская,Логойский,"Логойский район",5533.6,1,Февраль
Минская,Любанский,"Любанский район",4349.9,1,Февраль
Минская,Минский,"Минский район",7412,1,Февраль
Минская,Молодечненский,"Молодечненский район",5317.6,1,Февраль
Минская,Мядельский,"Мядельский район",4787.3,1,Февраль
Минская,Несвижский,"Несвижский район",5690.7,1,Февраль
Минская,Пуховичский,"Пуховичский район",5478.6,1,Февраль
Минская,Слуцкий,"Слуцкий район",5093.1,1,Февраль
Минская,Смолевичский,"Смолевичский район",6036.1,1,Февраль
Минская,Солигорский,"Солигорский район",8472,1,Февраль
Минская,Стародорожский,"Стародорожский район",4708.7,1,Февраль
Минская,Столбцовский,"Столбцовский район",5153.2,1,Февраль
Минская,Узденский,"Узденский район",5112.2,1,Февраль
Минская,Червенский,"Червенский район",4711.9,1,Февраль
Гомельская,Всего,"Гомельская область",6066.6,3,Апрель
Минская,Жодино,Жодино,6251.7,2,Март
Минская,Березинский,"Березинский район",5090.9,2,Март
Минская,Борисовский,"Борисовский район",5559.6,2,Март
Минская,Вилейский,"Вилейский район",5117.1,2,Март
