region,rajon,title,amount,period,month
Витебская,Полоцкий,Полоцкий район,6141.1,7,Август
Брестская область,Лунинецкий,Лунинецкий район,6132.9,11,Декабрь
РБ,Всего,Республика Беларусь,6129.1,1,Февраль
Витебская,Полоцкий,Полоцкий район,6127.9,5,Июнь
Минская,Пуховичский,Пуховичский район,6125,8,Сентябрь
Гродненская область,Островецкий,Островецкий район,6123.2,9,Октябрь
Гродненская,Всего,Гродненская область,6118,5,Июнь
Гродненская,Берестовицкий,Берестовицкий район,6116.8,6,Июль
Витебская,Витебск,Витебск,6116.5,3,Апрель
Брестская область,Барановичи,Барановичи,6115.3,9,Октябрь
Брестская,Барановичи,Барановичи,6112.3,6,Июль
Гродненская,Всего,Гродненская область,6109,8,Сентябрь
Могилевская область,Костюковичский,Костюковичский район,6108.7,11,Декабрь
Минская область,Борисовский,Борисовский район район,6107.6,11,Декабрь
Могилевская,Всего,Могилевская область,6107,6,Июль
Гомельская,Калинковичский,Калинковичский район,6104.7,6,Июль
Витебская,Всего,Витебская область,6101,7,Август
Гомельская область,Всего,Гомельская область,6098.7,10,Ноябрь
Могилевская,Могилевский,Могилевский район,6098.6,4,Май
Гродненская,Щучинский,Щучинский район,6092.4,7,Август
Гродненская область,Всего,Гродненская область,6092.3,9,Октябрь
Могилевская,Всего,Могилевская область,6091.7,7,Август
Минская,Узденский,Узденский район,6089,7,Август
Брестская область,Барановичский,Барановичский район,6084.9,11,Декабрь
Брестская область,Березовский,Березовский район,6080.6,10,Ноябрь
Брестская,Пружанский,Пружанский район,6076.5,6,Июль
Минская,Жодино,Жодино,6075.7,5,Июнь
Могилевская,Костюковичский,Костюковичский район,6074.7,6,Июль
Брестская,Березовский,Березовский район,6074.1,7,Август
Брестская,Всего,Брестская область,6073.2,6,Июль
Минская,Молодечненский,Молодечненский район,6071.7,6,Июль
Брестская,Жабинковский,Жабинковский район,6071.5,7,Август
Гомельская,Светлогорский,Светлогорский район,6071.4,2,Март
Минская,Логойский,Логойский район,6071.2,4,Май
Могилевская область,Могилевский,Могилевский район,6068.8,9,Октябрь
Могилевская область,Могилевский,Могилевский район,6068.5,10,Ноябрь
Минская,Столбцовский,Столбцовский район,6067.7,6,Июль
Гомельская,Всего,Гомельская область,6066.6,3,Апрель
Брестская,Барановичи,Барановичи,6066.5,8,Сентябрь
Минская,Смолевичский,Смолевичский район,6065.3,0,Январь
Витебская,Полоцкий,Полоцкий район,6061.8,4,Май
Брестская,Барановичский,Барановичский район,6061.3,8,Сентябрь
Витебская,Витебск,Витебск,6057.6,2,Март
Брестская,Барановичи,Барановичи,6056.5,5,Июнь
Гомельская область,Жлобинский,Жлобинский район,6054.4,9,Октябрь
Брестская область,Березовский,Березовский район,6051.1,9,Октябрь
Брестская область,Барановичи,Барановичи,6049.8,10,Ноябрь
Витебская,Всего,Витебская область,6049.2,5,Июнь
Минская,Узденский,Узденский район,6046.5,6,Июль
Гомельская,Гомельский,Гомельский район,6043.9,3,Апрель
Гродненская,Гродненский,Гродненский район,6039.1,3,Апрель
Гродненская,Волковысский,Волковысский район,6037.8,5,Июнь
Гродненская,Ошмянский,Ошмянский район,6036.6,7,Август
Витебская область,Верхнедвинский,Верхнедвинский район,6036.2,11,Декабрь
Минская,Смолевичский,Смолевичский район,6036.1,1,Февраль
Брестская,Брестский,Брестский район,6033,6,Июль
Гродненская,Всего,Гродненская область,6031.5,4,Май
Брестская,Каменецкий,Каменецкий район,6031.4,6,Июль
Витебская,Дубровенский,Дубровенский район,6030.7,7,Август
Гомельская,Светлогорский,Светлогорский район,6030.5,3,Апрель
Минская,Жодино,Жодино,6030.1,4,Май
РБ,Всего,Республика Беларусь,6023.2,0,Январь
Брестская,Пружанский,Пружанский район,6022.6,7,Август
Минская,Молодечненский,Молодечненский район,6022.5,5,Июнь
Гомельская,Гомельский,Гомельский район,6021.9,5,Июнь
Могилевская область,Белыничский,Белыничский район,6021.6,11,Декабрь
Витебская,Витебский,Витебский район,6019.4,7,Август
Минская,Пуховичский,Пуховичский район,6018.9,3,Апрель
Брестская,Жабинковский,Жабинковский район,6018.6,4,Май
Гомельская,Гомель,Гомель,6018.3,1,Февраль
Минская область,Столбцовский,Столбцовский район,6013.5,9,Октябрь
Брестская,Всего,Брестская область,6013.3,7,Август
Минская,Столбцовский,Столбцовский район,6012.5,8,Сентябрь
Гомельская область,Гомельский,Гомельский район,6012.2,9,Октябрь
Могилевская,Осиповичский,Осиповичский район,6011.3,6,Июль
Могилевская,Шкловский,Шкловский район,6010.5,5,Июнь
Витебская область,Полоцкий,Полоцкий район,6007,10,Ноябрь
Брестская,Барановичи,Барановичи,6005.6,7,Август
Минская область,Пуховичский,Пуховичский район,6005.5,9,Октябрь
Минская область,Логойский,Логойский район,6001.8,10,Ноябрь
Брестская,Брест,Брест,6000.9,1,Февраль
Минская,Несвижский,Несвижский район,6000.5,2,Март
Гомельская,Всего,Гомельская область,6000.1,2,Март
Минская,Слуцкий,Слуцкий район,5995.5,5,Июнь
Могилевская,Всего,Могилевская область,5995.3,5,Июнь
Минская область,Слуцкий,Слуцкий район,5988.7,11,Декабрь
Минская,Молодечненский,Молодечненский район,5988,7,Август
Гомельская область,Гомельский,Гомельский район,5985.5,11,Декабрь
Минская,Узденский,Узденский район,5982.1,4,Май
Минская,Узденский,Узденский район,5979.3,5,Июнь
Минская,Логойский,Логойский район,5978.5,3,Апрель
Брестская,Березовский,Березовский район,5978.4,5,Июнь
Могилевская,Бобруйск,Бобруйск,5976,7,Август
Гродненская область,Волковысский,Волковысский район,5975,9,Октябрь
Гомельская,Гомель,Гомель,5972.6,0,Январь
Могилевская,Белыничский,Белыничский район,5970.4,5,Июнь
Минская,Слуцкий,Слуцкий район,5970.1,6,Июль
Могилевская,Бобруйск,Бобруйск,5968,5,Июнь
Минская область,Пуховичский,Пуховичский район,5967.1,10,Ноябрь
Гродненская,Волковысский,Волковысский район,5966.6,8,Сентябрь
Гродненская область,Ошмянский,Ошмянский район,5964.5,11,Декабрь
Брестская область,Всего,Брестская область,5963.9,9,Октябрь
Гомельская,Калинковичский,Калинковичский район,5963.3,7,Август
Гродненская,Островецкий,Островецкий район,5962,4,Май
Брестская область,Каменецкий,Каменецкий район,5959.6,11,Декабрь
Минская,Молодечненский,Молодечненский район,5956.6,8,Сентябрь
Гродненская область,Волковысский,Волковысский район,5956.1,10,Ноябрь
Могилевская,Бобруйск,Бобруйск,5955.9,6,Июль
Витебская,Полоцкий,Полоцкий район,5954.8,8,Сентябрь
Могилевская область,Могилевский,Могилевский район,5953.1,11,Декабрь
Гродненская область,Лидский,Лидский район,5951.4,11,Декабрь
Могилевская,Могилевский,Могилевский район,5950.5,3,Апрель
Минская,Столбцовский,Столбцовский район,5946.6,5,Июнь
Брестская,Всего,Брестская область,5944.6,8,Сентябрь
Могилевская область,Бобруйск,Бобруйск,5943.4,9,Октябрь
Минская,Всего,Минская область,5942.4,1,Февраль
Минская область,Молодечненский,Молодечненский район,5941.5,9,Октябрь
Брестская,Жабинковский,Жабинковский район,5940.2,8,Сентябрь
Могилевская,Круглянский,Круглянский район,5938,6,Июль
Могилевская,Белыничский,Белыничский район,5934.6,6,Июль
Брестская область,Брестский,Брестский район,5930.8,11,Декабрь
Минская,Вилейский,Вилейский район,5929.9,7,Август
Брестская область,Жабинковский,Жабинковский район,5929,11,Декабрь
Могилевская,Круглянский,Круглянский район,5928.5,7,Август
Гомельская область,Калинковичский,Калинковичский район,5924.3,11,Декабрь
Минская,Борисовский,Борисовский район,5923.6,7,Август
Витебская область,Полоцкий,Полоцкий район,5923,9,Октябрь
Минская,Воложинский,Воложинский район,5922.9,6,Июль
Витебская область,Чашникский,Чашникский район,5920,11,Декабрь
Гомельская область,Жлобинский,Жлобинский район,5917.6,10,Ноябрь
Брестская область,Пружанский,Пружанский район,5915.4,11,Декабрь
Витебская область,Оршанский,Оршанский район,5912.8,11,Декабрь
Витебская,Всего,Витебская область,5907,8,Сентябрь
Могилевская,Всего,Могилевская область,5906.9,8,Сентябрь
Минская,Мядельский,Мядельский район,5905.1,7,Август
Могилевская,Костюковичский,Костюковичский район,5904.9,5,Июнь
Могилевская,Могилевский,Могилевский район,5902.7,2,Март
Могилевская,Могилев,Могилев,5902.5,1,Февраль
Брестская,Брест,Брест,5901.3,0,Январь
Могилевская,Белыничский,Белыничский район,5900.1,8,Сентябрь
Могилевская область,Осиповичский,Осиповичский район,5898.4,11,Декабрь
Могилевская,Шкловский,Шкловский район,5896.9,4,Май
Гомельская,Жлобинский,Жлобинский район,5896.3,1,Февраль
Брестская,Всего,Брестская область,5896.2,5,Июнь
Минская,Борисовский,Борисовский район,5895.5,6,Июль
Гомельская,Речицкий,Речицкий район,5893.7,0,Январь
Брестская,Барановичский,Барановичский район,5893.7,5,Июнь
Минская,Слуцкий,Слуцкий район,5893.6,7,Август
Минская,Всего,Минская область,5892.2,0,Январь
Гродненская область,Всего,Гродненская область,5890.8,10,Ноябрь
Гродненская,Волковысский,Волковысский район,5889.6,4,Май
Витебская,Чашникский,Чашникский район,5881.9,7,Август
Витебская,Всего,Витебская область,5881.6,4,Май
Гродненская,Ошмянский,Ошмянский район,5880.5,6,Июль
Могилевская,Костюковичский,Костюковичский район,5880.5,8,Сентябрь
Брестская область,Всего,Брестская область,5879.5,10,Ноябрь
Минская,Борисовский,Борисовский район,5877.8,8,Сентябрь
Минская,Столбцовский,Столбцовский район,5877.5,4,Май
Минская,Копыльский,Копыльский район,5876.6,7,Август
Могилевская,Кричевский,Кричевский район,5876.1,7,Август
Брестская область,Жабинковский,Жабинковский район,5874.9,10,Ноябрь
Могилевская область,Всего,Могилевская область,5873.3,9,Октябрь
Витебская область,Всего,Витебская область,5869.9,9,Октябрь
Могилевская,Осиповичский,Осиповичский район,5869.7,8,Сентябрь
Минская область,Слуцкий,Слуцкий район,5869.6,9,Октябрь
Минская,Березинский,Березинский район,5868,7,Август
Витебская,Полоцкий,Полоцкий район,5867.4,3,Апрель
Гродненская,Сморгонский,Сморгонский район,5863,7,Август
Гомельская,Гомельский,Гомельский район,5862.4,4,Май
Гродненская,Кореличский,Кореличский район,5859.9,7,Август
Могилевская,Осиповичский,Осиповичский район,5859.5,7,Август
Гомельская,Жлобинский,Жлобинский район,5858.3,0,Январь
Гродненская область,Сморгонский,Сморгонский район,5858.2,11,Декабрь
Минская,Пуховичский,Пуховичский район,5855.3,2,Март
Могилевская область,Бобруйск,Бобруйск,5855,10,Ноябрь
Минская,Логойский,Логойский район,5853.3,2,Март
Минская область,Столбцовский,Столбцовский район,5851.9,10,Ноябрь
Могилевская,Бобруйск,Бобруйск,5849.9,8,Сентябрь
Гродненская область,Островецкий,Островецкий район,5847.3,10,Ноябрь
Брестская,Пружанский,Пружанский район,5845.1,8,Сентябрь
Витебская,Чашникский,Чашникский район,5842.1,6,Июль
Гомельская,Калинковичский,Калинковичский район,5841.9,5,Июнь
Минская,Крупский,Крупский район,5841.8,7,Август
Брестская,Жабинковский,Жабинковский район,5841.4,5,Июнь
Брестская,Каменецкий,Каменецкий район,5839.6,8,Сентябрь
Брестская,Брестский,Брестский район,5837.7,5,Июнь
Минская область,Слуцкий,Слуцкий район,5836.6,10,Ноябрь
Гродненская,Берестовицкий,Берестовицкий район,5835.1,8,Сентябрь
Могилевская,Всего,Могилевская область,5833.8,4,Май
Брестская,Брестский,Брестский район,5832.6,8,Сентябрь
Брестская область,Кобринский,Кобринский район,5831.6,11,Декабрь
Могилевская область,Круглянский,Круглянский район,5830.5,11,Декабрь
Минская,Червенский,Червенский район,5829.8,6,Июль
Гомельская,Гомельский,Гомельский район,5828.8,2,Март
Могилевская,Могилев,Могилев,5825,0,Январь
Гомельская,Калинковичский,Калинковичский район,5822.1,4,Май
Минская область,Борисовский,Борисовский район,5819.4,9,Октябрь
Минская область,Молодечненский,Молодечненский район,5819.3,10,Ноябрь
