group,subgroup,amount,period,month
Промышленность,"производство кокса, нефтепродуктов и ядерных материалов",12394061,8,Сентябрь
Промышленность,химическое производство,11696426,8,Сентябрь
Промышленность,производство резиновых и пластмассовых изделий,7215202,8,Сентябрь
Промышленность,производство прочих неметаллических минеральных продуктов,6691383,8,Сентябрь
Промышленность,производство сборных железобетонных и бетонных конструкций и изделий,6720968,8,Сентябрь
Промышленность,металлургическое производство и производство готовых металлических изделий,7677909,8,Сентябрь
Промышленность,производство машин и оборудования,7063707,8,Сентябрь
Промышленность,"производство электрооборудования, электронного и оптического оборудования",7091430,8,Сентябрь
Промышленность,производство офисного оборудования и вычислительной техники,8124338,8,Сентябрь
Промышленность,производство электрических машин и электрооборудования,6589070,8,Сентябрь
Промышленность,"производство аппаратуры для радио, телевидения и связи",7567682,8,Сентябрь
Промышленность,"производство изделий медицинской техники, средств измерений, оптических приборов и аппаратуры, часов",7736133,8,Сентябрь
Промышленность,производство транспортных средств и оборудования,7775977,8,Сентябрь
Промышленность,"производство автомобилей, прицепов и полуприцепов",7554066,8,Сентябрь
Промышленность,производство прочих транспортных средств,8767860,8,Сентябрь
Промышленность,прочие отрасли промышленности,6400466,8,Сентябрь
Промышленность,"производство мебели и прочей продукции, не включенной в другие группировки",6175946,8,Сентябрь
Промышленность,обработка вторичного сырья,8187396,8,Сентябрь
Промышленность,"производство и распределение электроэнергии, газа и воды",7553578,8,Сентябрь
Промышленность,"производство тепловой энергии тепловыми электростанциями, самостоятельными котельными, прочими источниками",6317786,8,Сентябрь
Промышленность,теплоснабжение,5252995,8,Сентябрь
Промышленность,"сбор, очистка и распределение воды",6206429,8,Сентябрь
Строительство,Строительство,8338895,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",Всего,6549081,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","торговля автомобилями и мотоциклами, их техническое обслуживание и ремонт",8365550,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","оптовая торговля и торговля через агентов, кроме торговли автомобилями и мотоциклами",8982159,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования","розничная торговля, кроме торговли автомобилями и мотоциклами; ремонт бытовых изделий и предметов личного пользования",5888881,8,Сентябрь
"Торговля; ремонт автомобилей, бытовых изделий и предметов личного пользования",ремонт бытовых изделий и предметов личного пользования,4356690,8,Сентябрь
Гостиницы и рестораны,Гостиницы и рестораны,5060916,8,Сентябрь
Транспорт и связь,Всего,7661944,8,Сентябрь
Транспорт и связь,деятельность сухопутного транспорта,7636624,8,Сентябрь
Транспорт и связь,деятельность железнодорожного транспорта,7711859,8,Сентябрь
Транспорт и связь,деятельность прочего сухопутного транспорта,6843222,8,Сентябрь
Транспорт и связь,деятельность водного транспорта,4672209,8,Сентябрь
Транспорт и связь,деятельность воздушного транспорта,15330602,8,Сентябрь
Транспорт и связь,"деятельность воздушного транспорта, не подчиняющегося расписанию",10822865,8,Сентябрь
Транспорт и связь,вспомогательная и дополнительная транспортная деятельность,6942670,8,Сентябрь
Транспорт и связь,прочая вспомогательная деятельность воздушного транспорта,10138844,8,Сентябрь
Транспорт и связь,связь,8011242,8,Сентябрь
Финансовая деятельность,Всего,10457528,8,Сентябрь
Финансовая деятельность,финансовое посредничество,10736075,8,Сентябрь
Финансовая деятельность,страхование,8574554,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",Всего,10767112,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",операции с недвижимым имуществом,5590755,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",сдача в наем собственного недвижимого имущества,5457540,8,Сентябрь
"Операции с недвижимым имуществом, аренда и предоставление услуг потребителям",аренда машин и оборудования без оператора и прокат бытовых изделий и предметов личного пользования,5875622,8,Сентябрь
